PLAYER,GP,GS,MIN,PPG,OFFR,DEFR,RPG,APG,SPG,BPG,TPG,FPG,A/TO,TEAM
James Harden,17,17,36.5,28.6,0.8,4.4,5.2,6.8,2.24,0.65,3.8,2.7,1.8,HOU
Chris Paul,15,15,34.5,21.1,0.6,5.3,5.9,5.8,2.00,0.27,1.9,3.1,3.1,HOU
Eric Gordon,17,2,32.3,15.4,0.5,2.1,2.6,1.6,0.59,0.47,1.4,1.7,1.2,HOU
Clint Capela,17,17,30.6,12.7,3.6,8.0,11.6,1.3,0.82,2.12,0.9,2.2,1.5,HOU
PJ Tucker,17,17,33.5,8.9,1.4,5.2,6.5,1.3,0.65,0.76,0.8,2.7,1.6,HOU
Trevor Ariza,17,17,34.2,8.8,0.5,3.3,3.8,1.3,1.12,0.12,0.6,2.6,2.2,HOU
Gerald Green,17,0,16.0,6.3,0.4,2.6,2.9,0.1,0.24,0.41,0.6,1.6,0.1,HOU
Nene Hilario,11,0,9.7,2.8,0.5,2.0,2.5,0.5,0.18,0.45,0.7,1.6,0.6,HOU
Luc Mbah a Moute,9,0,16.6,2.8,0.3,2.1,2.4,0.3,0.67,0.44,0.7,0.9,0.5,HOU
Ryan Anderson,11,0,8.6,1.7,0.4,0.8,1.2,0.5,0.27,0.09,0.3,0.9,2.0,HOU
Joe Johnson,8,0,6.8,1.5,0.0,1.3,1.3,0.4,0.00,0.13,0.4,0.5,1.0,HOU
Aaron Jackson,7,0,2.4,0.7,0.3,0.3,0.6,0.3,0.00,0.00,0.3,0.3,1.0,HOU
Zhou Qi,3,0,2.0,0.7,0.0,0.3,0.3,0.0,0.00,0.00,0.0,0.0,0.0,HOU
Tarik Black,7,0,2.7,0.3,0.3,0.6,0.9,0.3,0.00,0.14,0.1,0.7,2.0,HOU
Chinanu Onuaku,1,0,3.0,0.0,1.0,0.0,1.0,1.0,1.00,0.00,0.0,1.0,0.0,HOU
Jimmy Butler,5,5,34.0,15.8,0.6,5.4,6.0,4.0,0.80,0.20,1.0,1.8,4.0,MIN
Andrew Wiggins,5,5,32.8,15.8,1.0,4.2,5.2,2.0,0.40,0.40,1.8,2.8,1.1,MIN
Karl-Anthony Towns,5,5,34.0,15.2,3.0,10.4,13.4,2.2,0.40,1.00,2.4,2.8,0.9,MIN
Derrick Rose,5,0,23.8,14.2,0.2,1.6,1.8,2.6,0.40,0.00,1.6,1.8,1.6,MIN
Jeff Teague,5,5,30.6,13.0,0.6,3.0,3.6,5.8,0.60,0.40,2.8,3.8,2.1,MIN
Jamal Crawford,5,0,24.6,11.8,0.2,2.4,2.6,2.4,1.00,0.00,1.0,1.2,2.4,MIN
Taj Gibson,5,5,24.6,6.2,1.4,2.6,4.0,0.4,0.20,0.40,0.8,1.6,0.5,MIN
Nemanja Bjelica,5,0,9.4,4.6,0.8,2.2,3.0,0.6,0.60,0.00,0.2,1.2,3.0,MIN
Gorgui Dieng,5,0,14.0,3.4,0.6,3.0,3.6,0.8,0.40,0.80,0.2,1.2,4.0,MIN
Aaron Brooks,2,0,1.5,2.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,MIN
Tyus Jones,4,0,13.8,1.0,0.0,2.3,2.3,2.0,0.25,0.00,0.3,0.0,8.0,MIN
Marcus Georges-Hunt,2,0,1.5,0.0,0.5,0.0,0.5,0.0,0.00,0.00,0.0,0.0,0.0,MIN
Russell Westbrook,6,6,39.2,29.3,1.8,10.2,12.0,7.5,1.50,0.00,5.2,3.5,1.5,OKC
Paul George,6,6,41.8,24.7,0.7,5.3,6.0,2.7,1.33,0.67,4.0,2.8,0.7,OKC
Carmelo Anthony,6,6,32.3,11.8,0.5,5.2,5.7,0.3,1.67,0.67,1.0,2.3,0.3,OKC
Steven Adams,6,6,33.3,10.5,3.2,4.3,7.5,1.5,0.67,0.67,0.7,2.5,2.3,OKC
Jerami Grant,6,0,22.2,7.2,1.3,2.0,3.3,1.0,0.67,0.50,1.0,2.5,1.0,OKC
Corey Brewer,6,6,25.2,6.2,0.7,1.5,2.2,0.8,1.17,0.83,0.3,2.8,2.5,OKC
Raymond Felton,6,0,13.2,5.2,0.3,1.8,2.2,1.5,0.67,0.33,0.8,1.2,1.8,OKC
Alex Abrines,6,0,18.3,4.0,0.5,2.2,2.7,0.3,0.83,0.33,0.2,1.8,2.0,OKC
Patrick Patterson,6,0,9.7,1.3,0.2,1.7,1.8,0.5,0.17,0.00,0.5,1.3,1.0,OKC
Terrance Ferguson,3,0,2.0,1.0,0.3,0.0,0.3,0.3,0.00,0.00,0.0,0.7,0.0,OKC
Josh Huestis,4,0,4.8,0.8,0.0,0.8,0.8,0.0,0.25,0.25,0.0,0.8,0.0,OKC
Dakari Johnson,2,0,1.5,0.0,0.0,0.0,0.0,0.0,0.00,0.00,0.0,0.0,0.0,OKC
Donovan Mitchell,11,11,37.4,24.4,0.8,5.1,5.9,4.2,1.45,0.36,2.9,3.2,1.4,UTAH
Joe Ingles,11,11,34.7,14.5,0.5,3.9,4.4,3.4,0.55,0.18,2.4,2.6,1.4,UTAH
Ricky Rubio,6,6,30.2,14.0,0.8,6.5,7.3,7.0,1.33,0.50,3.0,2.2,2.3,UTAH
